Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409323.4542,0.1628,0.2179,9.8976,-0.0916,-0.7557,0.4046
1745409323.5602,0.1963,0.2131,9.8857,-2.0229,-0.7328,0.2901
1745409323.6662,0.1676,0.2610,9.8186,-1.8855,-0.7481,0.2748
1745409323.7722,0.1628,0.1724,9.7396,-2.0534,-0.5115,0.3817
1745409323.8783,0.1772,0.2107,9.8497,-2.0153,-0.7405,0.2290
1745409323.9843,0.1006,0.2777,9.8474,-1.9924,-0.4427,0.5420
1745409324.0903,0.1556,0.2346,9.8521,-2.0305,-0.6565,0.1985
1745409324.1965,0.2227,0.2346,9.8809,-2.1221,-0.6718,0.3206
1745409324.3027,0.1915,0.2203,9.8593,-2.0840,-0.6336,0.0840
1745409324.4088,0.1580,0.2322,9.8234,-2.0382,-0.6718,0.1756
1745409324.5149,0.2394,0.1867,9.8881,-1.9466,-0.7710,1.9389
1745409324.6210,0.1580,0.1987,9.8833,-1.9084,-0.5496,0.5038
1745409324.7298,0.1293,0.2993,9.8426,-2.0305,-0.6107,0.2672
1745409324.8359,0.2203,0.2610,9.9120,-0.0687,-0.5878,0.1069
1745409324.9419,0.2945,0.1915,9.9264,-2.0840,-0.6260,0.2443
1745409325.0479,0.1939,0.2658,9.8306,-2.0076,-0.6947,0.4046
1745409325.1540,0.1772,0.2251,9.8689,-3.8779,-0.7023,0.3130
1745409325.2600,0.2059,0.2298,9.8737,-1.8855,-0.6031,0.3435
1745409325.3661,0.1101,0.1652,9.7636,-2.0305,-0.6412,0.0534
1745409325.4721,0.1676,0.1796,9.8665,-1.9695,-0.5725,0.3817
1745409325.5782,0.0958,0.1867,9.8497,-2.0611,-0.6641,0.3588
1745409325.6842,0.1341,0.1987,9.8617,-1.9618,-0.6718,0.0458
1745409325.7903,0.1652,0.2418,9.7659,-2.1298,-0.8931,0.1069
1745409325.8963,0.1867,0.2203,9.8090,-2.0382,-0.7634,0.2519
1745409326.0023,0.2083,0.2705,9.7229,-2.2061,-0.9389,0.0916
1745409326.1084,0.1676,0.1844,9.9264,-2.0992,-0.5802,0.3664
1745409326.2144,0.1101,0.2179,9.8066,-3.8855,-0.7099,0.4122
1745409326.3206,0.1484,0.2322,9.8330,-1.8015,-0.5649,0.4962
1745409326.4268,0.1484,0.2921,9.8857,-2.0000,-0.7786,0.3817
1745409326.5329,0.1604,0.2394,9.8593,-2.0076,-0.5573,0.1374
1745409326.6390,0.1317,0.1867,9.8809,-2.0534,-0.6794,0.2824
1745409326.7453,0.3017,0.2155,10.0221,-3.8702,-0.7634,0.2290
1745409326.8522,0.0383,0.2131,9.8474,-2.0305,-0.7710,0.1832
1745409326.9611,0.3017,0.2131,9.8881,-2.1145,-0.4351,0.1221
1745409327.0702,0.1389,0.2634,9.8426,-2.1756,-0.4046,0.5420
1745409327.1762,0.2203,0.2442,9.9096,-2.0534,-0.3740,0.2672
1745409327.2823,0.1748,0.2155,9.8354,-1.8244,-0.7481,0.0687
1745409327.3883,0.0910,0.2011,9.9072,-2.0534,-0.7023,0.2443
