Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745320799.3330,0.2011,0.1652,9.6941,-1.5725,-0.8397,0.2061
1745320799.4390,0.2251,0.1269,9.7276,-1.6031,-0.8473,0.2977
1745320799.5450,0.2610,0.2203,9.6869,-1.6107,-0.9237,0.3664
1745320799.6510,0.1772,0.2538,9.5529,-1.6718,-0.8473,0.2366
1745320799.7570,0.1125,0.1053,9.6462,-1.8397,-0.7634,0.2443
1745320799.8630,0.2777,0.1365,9.4643,-1.6107,-0.5496,-1.7710
1745320799.9691,0.2346,0.2131,9.9862,-1.5725,-1.0153,0.4962
1745320800.0751,0.2011,0.1963,9.7971,-1.7099,-1.1069,0.2443
1745320800.1811,0.0862,0.1221,9.7420,-1.5496,-0.9847,0.2595
1745320800.2871,0.2849,0.1460,9.6893,-1.7099,-0.8168,0.2672
1745320800.3932,0.1484,0.2682,9.6798,-1.6794,-0.9466,0.1450
1745320800.4993,0.3448,0.1245,9.5385,-1.5725,-0.9542,0.1756
1745320800.6053,0.1628,0.1413,9.6750,-1.7176,-0.7557,0.2443
1745320800.7113,0.2753,0.1556,9.7348,-1.7099,-0.9542,0.0992
1745320800.8174,0.1939,0.0144,9.8593,-1.4885,-0.9313,0.2214
1745320800.9256,0.2083,0.1748,9.6845,-1.6565,-1.2595,0.0916
1745320801.0319,0.3065,0.2705,9.5936,-1.8931,1.8397,0.1374
1745320801.1381,0.1437,0.1508,9.9048,-1.2519,-1.1374,0.0153
1745320801.2442,0.2777,0.1604,9.5816,-1.5802,-0.9924,0.2214
1745320801.3502,0.1652,0.1796,9.5984,-1.7405,-0.6565,0.2290
1745320801.4564,0.2873,0.1077,9.6941,-1.6107,-0.9542,0.1374
1745320801.5626,0.1460,0.2035,9.5888,-1.6565,-0.7786,0.0992
1745320801.6704,0.2466,0.1820,9.6774,-1.4198,-1.1679,0.1221
1745320801.7794,0.2705,0.0335,9.4332,-0.0305,-0.6260,0.1221
1745320801.8854,0.3448,0.1939,9.4308,-1.8702,-0.3053,0.1221
1745320801.9914,0.2131,0.1915,9.7588,-1.6947,-0.9008,0.1374
1745320802.0974,0.2514,0.1939,9.5864,-1.7023,-0.8015,1.8931
1745320802.2034,0.2322,0.1867,9.8019,-1.7863,-0.8244,0.0076
1745320802.3094,0.1389,0.1508,9.6726,-1.6336,-0.7405,0.0305
1745320802.4154,0.2586,0.2083,9.7276,-1.6412,-0.9237,0.1985
1745320802.5214,0.1796,0.1796,9.6774,-1.7481,-0.9237,-1.8550
1745320802.6275,0.2897,0.1006,9.7181,-1.6260,-0.9924,-1.9084
1745320802.7335,0.1820,0.1867,9.6917,-1.5496,-0.9237,0.0534
1745320802.8395,0.2466,0.1700,9.6726,-1.6031,-0.9695,0.2748
1745320802.9455,0.1772,0.1700,9.7229,-1.6336,-0.8092,0.1756
1745320803.0515,0.2107,0.1437,9.7157,-1.6870,-0.9847,0.2977
1745320803.1576,0.2155,0.1867,9.6965,-1.6336,-0.9237,-1.8015
1745320803.2636,0.1915,0.3017,9.6750,-1.6412,-1.0458,0.1679
1745320803.3696,0.1963,0.1532,9.5577,-1.7328,-0.9618,0.1908
1745320803.4757,0.2370,0.1221,9.6893,-1.6794,-0.8550,0.4504
1745320803.5817,0.2729,0.2634,9.6534,-1.5878,-1.1527,0.3130
1745320803.6879,0.3615,0.1844,9.9479,-1.6794,-1.3435,0.3588
1745320803.7940,0.1604,0.1173,9.4451,-1.9313,-0.3130,0.0382
1745320803.9003,0.2251,0.0455,10.5752,-1.3206,-3.1221,0.2672
1745320804.0065,0.0311,0.2873,9.7564,-1.7863,-0.9160,0.5267
