Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409412.3567,-0.2298,0.1987,9.9718,-0.0382,-2.2519,0.4580
1745409412.4628,0.1772,0.2897,9.8689,-2.3817,-1.6412,0.3359
1745409412.5688,0.4669,0.3567,9.4858,-0.0992,-0.1069,0.2519
1745409412.6748,-0.1365,0.1604,10.3022,-2.0534,-0.3511,0.4885
1745409412.7808,0.0479,0.4334,9.5505,-2.4198,0.3359,0.2824
1745409412.8868,0.0383,-0.0096,9.9216,-1.4580,-2.8397,0.4351
1745409412.9928,0.1652,0.3998,9.6750,-2.6336,-0.3206,0.4656
1745409413.0989,0.2873,0.4022,9.4906,-1.8244,-0.1908,0.1450
1745409413.2049,0.0910,0.0694,10.1897,-2.0534,0.5878,0.4198
1745409413.3109,0.1796,0.2490,9.4547,-2.6870,0.3282,0.4427
1745409413.4170,-0.1820,0.0335,10.5632,-1.1145,-3.0687,0.4427
1745409413.5230,-0.1317,0.4046,9.7420,-2.8168,-0.2519,0.1374
1745409413.6299,0.3496,0.2514,9.7037,-1.6336,-0.2977,0.2137
1745409413.7360,0.2059,0.2825,9.9575,-2.6641,1.2748,0.1603
1745409413.8421,0.1700,0.4741,9.6295,-1.6412,-0.6183,0.4809
1745409413.9482,-0.1101,0.0120,10.2328,-2.0229,-1.1450,0.4046
1745409414.0543,0.2466,0.2131,9.8114,-0.0076,-1.2366,0.1985
1745409414.1603,-0.0192,0.0455,10.1921,-1.2443,-2.9084,0.4351
1745409414.2664,0.1532,0.4980,9.6391,-2.6870,-0.5038,0.1374
1745409414.3727,0.3472,0.1293,9.7444,-1.4580,-1.0992,0.1221
1745409414.4788,0.2490,0.2035,9.8976,-2.8473,1.0076,0.4122
1745409414.5848,0.2155,0.3136,9.7707,-1.6489,-0.2672,0.3053
1745409414.6909,0.0407,0.0263,10.0556,-2.3435,1.0840,0.2061
1745409414.7970,0.3448,0.2203,9.3781,-2.5267,0.2290,0.1221
1745409414.9030,-0.2777,0.0958,10.2639,-1.4122,-2.7481,0.5420
1745409415.0090,-0.0048,0.3950,9.9168,-2.4885,-1.0534,0.4046
1745409415.1151,0.3472,0.0431,9.7205,-1.6718,-0.7176,0.0992
1745409415.2211,0.4094,0.2921,10.0221,-2.4504,1.2977,0.1679
1745409415.3272,0.2274,0.4334,9.7109,-1.7786,-0.3664,0.5038
1745409415.4332,0.0048,0.0024,10.2831,-1.8626,-0.6183,0.4504
1745409415.5393,0.1532,0.0168,9.9216,-2.1679,-1.2290,0.4351
1745409415.6453,0.0622,0.1580,9.9144,-1.1298,-2.5878,0.2595
1745409415.7514,0.1077,0.3256,9.6845,-2.6947,0.2519,0.2061
1745409415.8576,0.3639,0.2227,9.3039,-1.8550,-0.3511,0.1069
1745409415.9637,0.3184,0.1963,9.8330,-2.5649,1.5038,0.2595
1745409416.0697,0.1437,0.3926,9.5744,-1.8015,-0.4122,0.2290
1745409416.1762,0.0862,0.0311,10.2376,-2.1374,-1.7939,0.5420
1745409416.2840,0.0694,0.2059,9.8474,-1.9924,-1.0458,0.2672
1745409416.3900,0.0263,0.0934,10.1059,-1.2214,-2.6794,0.3893
1745409416.4961,0.0239,0.3543,9.7085,-2.8244,-0.1985,-0.0153
1745409416.6021,0.3089,0.2682,9.5050,-1.5344,-0.4504,0.3053
1745409416.7081,0.3472,0.1676,9.8354,-2.5038,1.2443,-0.2290
1745409416.8142,0.0575,0.3926,9.6103,-1.9924,-0.9160,0.3053
1745409416.9202,0.1389,0.1317,10.1275,-1.9695,-0.2137,0.5344
1745409417.0262,0.1365,0.1269,10.0006,-3.8931,-1.0687,0.4809
1745409417.1322,0.0287,0.2035,10.0293,-1.3130,-2.5954,0.4733
1745409417.2383,0.0144,0.4190,9.6702,-2.9313,-1.7863,0.2214
1745409417.3443,0.3112,0.2562,9.4810,-1.6565,-1.8931,0.2290
1745409417.4504,0.2251,0.2298,10.0365,-2.6031,1.3588,0.2901
1745409417.5564,0.1030,0.3232,9.5936,-1.8321,-0.6641,0.2443
1745409417.6626,0.0599,0.0503,10.1035,-3.8321,-0.6870,0.2519
1745409417.7690,0.3136,0.2634,9.5672,-2.2443,-1.2366,0.3740
1745409417.8750,-0.0287,0.1245,10.0173,-1.4122,-2.8321,0.4504
1745409417.9817,0.0287,0.3232,9.7061,-2.7023,-0.6870,0.1221
1745409418.0905,0.3543,0.1820,9.3565,-2.0992,0.4733,0.3282
1745409418.1995,0.2562,-0.0551,10.2903,-1.7939,-0.7557,0.3817
1745409418.3077,0.1269,0.4357,9.4571,-2.6412,-1.4656,0.3206
1745409418.4138,0.0239,0.2011,9.8761,-1.7786,-3.8321,0.4733
1745409418.5198,0.3160,0.2322,9.7588,-2.3817,-0.2214,-0.0916
1745409418.6259,0.5650,0.3855,9.2584,-1.9466,0.6260,0.1374
1745409418.7319,-0.1269,0.0910,10.5441,-1.2748,-1.3435,0.4198
1745409418.8409,0.0790,0.3136,9.7276,-2.3053,-0.5115,0.0840
1745409418.9474,0.1700,0.0503,10.2113,-1.1374,-2.0840,0.4962
1745409419.0534,0.1796,0.2610,10.0197,-2.6183,0.8626,0.1450
1745409419.1595,0.0239,0.3567,9.8114,-1.6641,-0.6183,0.2290
1745409419.2655,0.1628,0.0024,10.3166,-2.2061,1.1985,0.1527
1745409419.3715,0.2586,0.2562,9.2847,-2.4962,0.0382,0.3282
1745409419.4776,-0.3065,0.0766,10.3573,-1.4733,-2.6260,0.4504
1745409419.5836,-0.0359,0.3687,9.7061,-2.6641,-0.3969,0.3435
1745409419.6896,0.2538,0.0168,10.0102,-1.1603,-1.3817,0.1756
1745409419.7957,0.3543,0.2777,10.0341,-2.6412,0.9160,0.0840
1745409419.9017,0.1604,0.3232,9.7468,-1.5878,-0.1908,0.4733
1745409420.0077,0.1245,0.1532,9.9910,-2.4580,0.8015,0.3359
1745409420.1138,0.1772,0.2658,9.4691,-2.4733,-0.0916,0.2443
1745409420.2198,-0.0144,0.0120,10.5058,-1.1603,-2.5802,0.4733
1745409420.3258,0.0718,0.4381,9.7779,-2.5191,-0.8473,0.4504
1745409420.4319,0.2753,0.0622,9.7396,-1.3969,-1.6183,0.3359
1745409420.5381,0.2035,0.3017,9.8330,-2.4580,0.7710,1.9466
1745409420.6441,0.1748,0.3831,9.5984,-1.6641,-0.1298,0.0840
1745409420.7503,0.0742,0.0335,10.3741,-1.7023,0.1221,0.1221
1745409420.8567,0.2370,0.2538,9.8976,-2.1069,-0.3435,0.3588
1745409420.9638,-0.0455,0.1484,9.9120,-1.6183,-1.2366,0.3130
1745409421.0729,0.1963,0.3687,10.0628,-2.6947,0.5496,0.2901
1745409421.1789,0.2658,0.3112,9.1459,-2.3435,0.2977,0.3893
1745409421.2849,0.1532,-0.0383,10.5608,-1.6489,-0.4962,0.3969
1745409421.3909,0.0215,0.4645,9.2536,-2.5344,-1.2061,0.3893
1745409421.4970,-0.1820,0.1006,10.1323,-1.6489,-2.2748,0.3588
1745409421.6030,0.1245,0.2825,9.7229,-2.5344,-1.2366,0.1527
1745409421.7090,0.3424,0.3017,9.5600,-1.7634,-0.3359,0.3053
1745409421.8150,0.0814,0.3352,10.3597,-2.4427,0.6031,0.2443
1745409421.9211,0.2083,0.3519,9.3134,-2.0916,-0.0763,0.4427
1745409422.0271,0.0646,-0.0934,10.5345,-1.8092,-1.3130,0.2595
1745409422.1332,0.0072,0.4381,9.4355,-2.3817,-1.3511,0.1298
1745409422.2392,0.0024,0.1891,10.0293,-1.8397,-1.5496,0.4046
1745409422.3453,0.4453,0.1628,9.7516,-2.2672,-0.2977,0.2824
1745409422.4513,0.3950,0.2610,9.3254,-2.1298,0.4275,0.0763
1745409422.5574,0.0263,0.1532,10.5177,-3.8779,0.1679,0.2061
1745409422.6635,0.2059,0.3232,9.4236,-2.3588,0.0916,1.9466
1745409422.7705,0.1891,-0.0383,10.4842,-1.5267,-2.3053,0.6412
1745409422.8775,0.1867,0.3950,9.6103,-2.2901,-0.9466,0.2443
1745409422.9837,0.0120,0.0599,10.1538,-1.6183,-1.6031,0.2214
1745409423.0899,0.0479,0.1724,9.7492,-2.7328,-0.9847,0.2595
1745409423.1961,0.3903,0.3448,9.2656,-0.1374,-1.8473,1.9008
1745409423.3021,-0.0670,0.1844,10.2831,-2.3740,0.4351,0.2977
1745409423.4090,0.3424,0.3711,9.2871,-2.6336,0.3511,0.3359
1745409423.5150,0.0263,-0.1221,10.4291,-1.5573,-1.2366,0.2595
1745409423.6210,0.0886,0.4525,9.4236,-2.3817,-1.6031,0.1298
1745409423.7270,-0.1413,0.1460,10.2496,-1.8397,-2.0992,0.4962
1745409423.8330,0.2849,0.2322,9.7995,-2.4733,-0.6489,0.1679
1745409423.9390,0.3903,0.2873,9.3278,-1.7252,-1.8931,0.1527
1745409424.0451,-0.1508,0.1604,10.4339,-3.8702,0.3817,0.1527
1745409424.1511,0.0982,0.2921,9.3565,-2.3588,0.0153,0.0992
1745409424.2571,0.2705,-0.0455,10.2328,-2.0076,-1.4504,0.3740
1745409424.3632,0.0503,0.3735,9.5553,-2.2824,-1.3130,0.0305
1745409424.4692,-0.0120,0.2155,9.9910,-1.6489,-3.9084,0.1908
1745409424.5752,0.2993,0.1580,9.7923,-2.3435,-1.0763,0.0992
1745409424.6813,0.3065,0.3304,9.3901,-0.0611,0.2672,0.2519
1745409424.7873,-0.1293,0.2203,10.4315,-1.9924,0.2595,0.2366
1745409424.8934,0.4286,0.3855,9.3063,-2.5267,-0.2061,1.9389
1745409424.9997,0.1389,-0.1484,10.4842,-1.7176,-1.2443,0.3359
1745409425.1077,0.2083,0.4046,9.6223,-2.5344,-1.2366,0.3130
1745409425.2139,-0.1006,0.0072,10.2065,-1.6183,-1.4427,0.3893
1745409425.3199,0.2610,0.2586,9.6151,-2.6641,-0.8015,0.1374
1745409425.4260,0.3400,0.1604,9.4332,-1.8321,0.1221,0.2290
1745409425.5325,0.1149,0.1987,10.3070,-2.0076,0.4351,-1.9466
1745409425.6395,0.1628,0.3304,9.2512,-2.5954,-0.2443,0.0229
1745409425.7485,0.0694,-0.0263,10.0820,-1.5954,-2.4885,0.5802
1745409425.8545,0.1891,0.4501,9.7707,-2.5878,-0.4504,0.3969
1745409425.9606,0.0096,0.2801,9.9024,-1.8244,-0.3893,0.1145
1745409426.0666,0.2442,0.1939,10.0149,-2.5725,1.2672,0.0458
1745409426.1727,0.3543,0.3089,9.4020,-2.5649,0.6947,0.3053
1745409426.2788,-0.1748,0.1532,10.3142,-1.4427,-2.4427,0.4580
1745409426.3848,0.1724,0.2370,9.8114,-2.2061,-0.5802,0.2443
1745409426.4909,0.1915,0.0670,9.9647,-1.4656,-1.8321,0.1756
1745409426.5969,0.2083,0.3879,9.8450,-2.5496,-1.8779,0.2366
1745409426.7030,0.1293,0.2610,9.9742,-1.7023,-0.7328,0.2519
