Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409566.6180,2.3990,2.0590,7.4172,-2.8397,10.1069,-1.5649
1745409566.7270,-1.4222,-2.1213,12.2535,1.2061,1.0763,2.4580
1745409566.8347,-1.2665,1.1803,9.9814,-5.7099,2.4656,0.3206
1745409566.9407,0.5626,0.4286,9.6822,-5.9237,5.4427,0.0458
1745409567.0468,0.3136,0.2634,12.2727,-3.5496,-2.2977,-0.1145
1745409567.1528,-0.3519,-0.8787,13.5775,0.5573,-2.9847,0.5649
1745409567.2588,-1.1349,0.3376,11.8441,0.9618,-8.9237,0.0534
1745409567.3649,0.5794,2.0901,7.2951,-0.2137,-1.1908,-0.8092
1745409567.4709,-1.2282,-0.1724,15.6629,-5.0229,-2.9695,1.8473
1745409567.5769,-0.1197,2.6791,9.1387,-12.2901,18.0916,-1.7176
1745409567.6831,0.8284,1.0989,7.0868,-3.6260,0.5115,-0.1450
1745409567.7899,-0.4046,0.0862,8.8418,-2.4656,-1.5344,0.8626
1745409567.8960,0.2993,0.2753,8.4803,-2.2519,0.5267,-0.3053
1745409568.0025,0.7542,-0.0383,11.1881,-3.6641,2.1908,0.8244
1745409568.1087,0.3807,1.1875,9.2775,-2.7176,-2.2214,1.1527
1745409568.2175,0.1556,0.5148,7.7381,-0.0229,1.7023,-0.2824
1745409568.3236,-0.5171,0.1125,10.4244,-1.7176,1.0153,1.1450
1745409568.4300,-0.0694,0.6225,11.2120,-0.2748,-2.7634,-0.7557
1745409568.5369,-0.1891,0.5267,9.8785,-3.6031,-1.8015,0.2672
1745409568.6429,0.1413,0.6608,11.1402,-2.9237,1.3206,0.1679
1745409568.7490,0.6680,0.4286,8.5473,-3.7328,-0.6412,0.1298
1745409568.8550,0.3903,-0.4717,9.2775,-2.1908,1.9084,-1.9466
1745409568.9611,0.1437,1.0750,9.9072,-1.6183,-0.2366,-0.5802
1745409569.0671,0.0814,-0.2825,10.3741,-1.0840,-1.0763,0.3053
1745409569.1731,0.2107,0.3879,8.6862,-4.1069,3.2443,0.0458
1745409569.2792,0.0670,0.3448,8.8346,-2.2214,-0.7634,-0.1832
1745409569.3852,0.3041,0.7877,8.8873,-2.2824,-1.9237,0.1756
1745409569.4952,0.6105,0.1053,7.6112,-1.6794,-0.4275,0.2137
1745409569.6020,0.5363,0.2729,9.5457,1.0076,-1.7405,-0.0611
1745409569.7081,0.7590,0.3783,10.1490,-1.2824,-1.9771,-0.0611
1745409569.8142,-0.1867,0.7661,9.8881,-1.9313,-5.7328,0.9160
1745409569.9203,0.4453,-0.1173,8.7436,-2.1985,1.7252,0.0534
1745409570.0263,0.8954,0.3615,9.4116,-0.6489,2.8550,0.2366
1745409570.1332,0.5602,0.9984,7.2688,-2.5267,5.1298,1.1450
1745409570.2392,-0.5100,-0.7542,11.6598,-1.6412,-1.4275,1.0153
1745409570.3452,-0.1724,0.1197,8.7628,-1.6565,-4.0000,0.6718
